Index Type X Y Z Radius Parent
1 1 0 0 0 1.915 1
2 1 0 -1.9 0 1.915 1
3 1 0 1.89 0 1.915 1
4 6 0 -0.02 -0.02 0.25 1
5 6 0.05 -0.1 -0.1 0.25 4
6 6 0.07 -0.18 -0.2 0.25 5
7 6 0.1 -0.25 -0.27 0.25 6
8 6 0.15 -0.31 -0.36 0.25 7
9 6 0.18 -0.37 -0.43 0.25 8
10 6 0.2 -0.46 -0.5 0.25 9
11 6 0.23 -0.51 -0.57 0.25 10
12 6 0.27 -0.6 -0.68 0.25 11
13 6 0.28 -0.49 -0.75 0.25 12
14 6 0.25 -0.18 -0.82 0.25 13
15 6 0.25 -0.1 -0.91 0.25 14
16 6 0.28 -0.2 -1 0.25 15
17 6 0.28 -0.31 -1.07 0.25 16
18 6 0.31 -0.4 -1.14 0.25 17
19 6 0.31 -0.5 -1.23 0.25 18
20 6 0.34 -0.62 -1.29 0.25 19
21 6 0.33 -0.68 -1.38 0.25 20
22 6 0.28 -0.75 -1.47 0.25 21
23 6 0.23 -0.81 -1.54 0.25 22
24 6 0.2 -0.86 -1.62 0.25 23
25 6 0.15 -0.92 -1.72 0.25 24
26 6 0 -0.81 -1.77 0.25 25
27 6 -0.18 -0.68 -1.87 0.25 26
28 6 -0.36 -0.57 -1.95 0.25 27
29 6 -0.36 -0.51 -2.02 0.25 28
30 6 -0.36 -0.46 -2.09 0.25 29
31 6 -0.36 -0.4 -2.2 0.25 30
32 6 -0.36 -0.36 -2.25 0.25 31
33 6 -0.36 -0.33 -2.3 0.25 32
34 6 0 0 0.05 0.25 1
35 6 0 0 0.09 0.25 34
36 6 0 0 0.15 0.25 35
37 6 0 0.01 0.25 0.25 36
38 6 0 0.02 0.31 0.25 37
39 6 0 0.05 0.4 0.25 38
40 6 0 0.07 0.46 0.25 39
41 6 0 0.07 0.56 0.25 40
42 6 -0.01 0.09 0.62 0.25 41
43 6 -0.01 0.1 0.73 0.25 42
44 6 -0.01 0.1 0.8 0.25 43
45 6 -0.02 0.11 0.87 0.25 44
46 6 -0.02 0.14 0.94 0.25 45
47 6 -0.02 0.15 1.03 0.25 46
48 6 -0.05 0.17 1.12 0.25 47
49 6 -0.05 0.18 1.21 0.25 48
50 6 -0.05 0.18 1.26 0.25 49
51 6 -0.05 0.2 1.37 0.25 50
52 6 -0.05 0.2 1.44 0.25 51
53 6 -0.07 0.23 1.51 0.25 52
54 6 -0.07 0.23 1.6 0.25 53
55 6 -0.07 0.25 1.69 0.25 54
56 6 -0.07 0.25 1.75 0.25 55
57 6 -0.07 0.27 1.84 0.25 56
58 6 -0.07 0.28 1.91 0.25 57
59 6 -0.09 0.3 2 0.25 58
60 6 -0.07 0.2 2.07 0.25 59
61 6 -0.05 0.15 2.16 0.25 60
62 6 0 0.07 2.25 0.25 61
63 6 0.05 0 2.3 0.25 62
64 6 0.11 -0.07 2.41 0.25 63
65 6 0.17 -0.1 2.48 0.25 64
66 6 0.18 -0.1 2.55 0.25 65
67 6 0.2 -0.09 2.64 0.25 66
68 6 0.2 -0.02 2.73 0.25 67
69 6 0.15 0.05 2.78 0.25 68
70 6 0.1 0.27 2.89 0.25 69
71 6 0 0.56 2.96 0.25 70
72 6 -0.1 0.8 3.03 0.25 71
73 6 -0.23 1.01 3.1 0.25 72
74 6 -0.4 1.28 3.21 0.25 73
75 6 -0.97 1.99 3.25 0.25 74
76 6 -1.37 3.63 3.25 0.25 75
77 6 -1.53 5.36 3.25 0.25 76
78 6 -1.57 5.44 3.3 0.25 77
79 6 -1.59 5.51 3.41 0.25 78
80 6 -1.6 5.57 3.48 0.25 79
81 6 -1.59 5.61 3.55 0.25 80
82 6 -1.59 5.65 3.64 0.25 81
83 6 -1.58 5.71 3.73 0.25 82
84 6 -1.57 5.78 3.78 0.25 83
85 6 -1.57 5.84 3.89 0.25 84
86 6 -1.57 5.92 3.96 0.25 85
87 6 -1.54 5.98 4.11 0.25 86
88 6 -1.51 6.03 4.21 0.25 87
89 6 -1.49 6.07 4.28 0.25 88
90 6 -1.46 6.15 4.4 0.25 89
91 6 -1.41 6.19 4.48 0.25 90
92 6 -1.37 6.26 4.57 0.25 91
93 6 -1.36 6.3 4.63 0.25 92
94 6 -1.33 6.36 4.73 0.25 93
95 6 -1.27 6.4 4.8 0.25 94
96 6 -1.25 6.44 4.88 0.25 95
97 6 -1.2 6.48 4.96 0.25 96
98 6 -1.15 6.53 5.15 0.25 97
99 6 -1.12 6.57 5.25 0.25 98
100 6 -1.07 6.61 5.36 0.25 99
101 6 -1.01 6.65 5.44 0.25 100
102 6 -0.97 6.76 5.53 0.25 101
103 6 -0.92 6.86 5.59 0.25 102
104 6 -0.81 7.01 5.69 0.25 103
105 6 -0.72 7.15 5.76 0.25 104
106 6 -0.63 7.28 5.84 0.25 105
107 6 -0.57 7.4 5.92 0.25 106
108 6 -0.55 7.48 6 0.25 107
109 6 -0.5 7.53 6.09 0.25 108
110 6 -0.5 7.67 6.15 0.25 109
111 6 -0.54 7.9 6.25 0.25 110
112 6 -0.56 8.14 6.32 0.25 111
113 6 -0.46 8.35 6.4 0.25 112
114 6 -0.4 8.55 6.48 0.25 113
115 6 -0.33 8.72 6.57 0.25 114
116 6 -0.27 8.81 6.63 0.25 115
117 6 -0.2 8.93 6.73 0.25 116
118 6 -0.25 9.3 6.84 0.25 117
119 6 -0.2 9.68 6.92 0.25 118
120 6 -0.14 10.06 7 0.25 119
121 6 -0.18 10.42 7.09 0.25 120
122 6 -0.2 10.77 7.15 0.25 121
123 6 -0.34 12.22 7.21 0.25 122
124 6 -0.4 12.43 7.28 0.25 123
125 6 -0.43 12.68 7.36 0.25 124
126 6 -0.8 13.6 7.48 0.25 125
127 6 -0.82 13.68 7.57 0.25 126
128 6 -0.87 13.77 7.63 0.25 127
129 6 -1.11 14.31 7.73 0.25 128
130 6 -1.1 15.02 7.8 0.25 129
131 6 -1.04 15.5 7.88 0.25 130
132 6 -1 15.72 7.96 0.25 131
133 6 -1.62 17.45 8 0.25 132
134 6 -1.89 17.88 8.05 0.25 133
135 6 -1.88 17.86 8.1 0.25 134
136 6 -1.99 18.04 8.05 0.25 135
137 6 -2.03 18.2 7.96 0.25 136
138 6 -2.06 18.3 7.88 0.25 137
139 6 -2.06 19.79 7.84 0.25 138
140 6 -1.91 20.55 7.76 0.25 139
141 6 -1.87 20.71 7.69 0.25 140
142 6 -1.52 21 7.59 0.25 141
143 6 -1.14 21.17 7.53 0.25 142
144 6 -1.14 22.84 7.32 0.25 143
145 6 -1.71 22.56 7.4 0.25 144
146 6 -1.83 22.54 7.32 0.25 145
147 6 -1.88 22.52 7.25 0.25 146
148 6 -2.04 22.54 7.15 0.25 147
149 6 -2.26 22.54 7.09 0.25 148
150 6 -2.43 22.54 7 0.25 149
151 6 -2.64 22.61 6.92 0.25 150
152 6 -2.92 22.62 6.84 0.25 151
153 6 -2.92 22.62 6.8 0.25 152
154 6 -3.03 22.79 6.76 0.25 153
155 6 -3.22 22.79 6.69 0.25 154
156 6 -3.26 22.79 6.59 0.25 155
157 6 -3.46 22.84 6.53 0.25 156
158 6 -3.82 23.44 6.4 0.25 157
159 6 -3.85 24.43 6.53 0.25 158
160 6 -3.92 24.43 6.57 0.25 159
161 6 -4.05 24.54 6.63 0.25 160
162 6 -4.17 24.5 6.8 0.25 161
163 6 -4.23 24.45 6.84 0.25 162
164 6 -3.8 23.44 6.32 0.25 158
165 6 -4.03 23.47 6.25 0.25 164
166 6 -4.13 23.52 6.21 0.25 165
167 6 -4.4 23.38 6.15 0.25 166
168 6 -4.76 23.39 6.11 0.25 167
169 6 -5.32 23.96 6.05 0.25 168
170 6 -5.36 23.97 6.01 0.25 169
171 6 -5.38 24 6 0.25 170
172 6 -5.38 24 5.96 0.25 171
173 6 -5.46 24.05 5.92 0.25 172
174 6 -5.63 24.2 5.86 0.25 173
175 6 -5.63 24.2 5.88 0.25 174
176 6 -6.09 24.87 5.59 0.25 175
177 6 -6.15 25 5.57 0.25 176
178 6 -6.21 25.04 5.53 0.25 177
179 6 -6.23 25.04 5.48 0.25 178
180 6 -6.21 25.05 5.44 0.25 179
181 6 -6.19 24.97 5.32 0.25 180
182 6 -6.19 24.95 5.25 0.25 181
183 6 -6.38 25.02 5.75 0.25 178
184 6 -6.55 25.37 5.73 0.25 183
185 6 -6.73 25.72 5.73 0.25 184
186 6 -7.05 26.19 5 0.25 185
187 6 -7.07 26.2 5.05 0.25 186
188 6 -7.13 26.09 5.09 0.25 187
189 6 -7.23 26.12 5.15 0.25 188
190 6 -7.23 26.14 5.25 0.25 189
191 6 -7.42 26.14 5.36 0.25 190
192 6 -7.73 26.12 5.44 0.25 191
193 6 -7.78 26.06 5.48 0.25 192
194 6 -7.96 25.97 5.57 0.25 193
195 6 -8.34 26.2 5.57 0.25 194
196 6 -8.72 26.52 5.59 0.25 195
197 6 -9.06 26.79 5.59 0.25 196
198 6 -9.06 26.79 5.63 0.25 197
199 6 -9.06 26.79 5.69 0.25 198
200 6 -9.02 26.79 5.8 0.25 199
201 6 -9.25 26.79 5.57 0.25 197
202 6 -9.25 26.79 5.53 0.25 201
203 6 -9.25 26.79 5.48 0.25 202
204 6 -9.27 26.79 5.44 0.25 203
205 6 -10.31 26.95 5.36 0.25 204
206 6 -10.47 26.72 5.36 0.25 205
207 6 -10.52 26.54 5.36 0.25 206
208 6 -10.55 26.37 5.25 0.25 207
209 6 -10.68 26.29 5.15 0.25 208
210 6 -10.68 26.12 5.09 0.25 209
211 6 -10.68 26.04 5 0.25 210
212 6 -10.64 26.02 4.92 0.25 211
213 6 -10.6 25.95 4.84 0.25 212
214 6 -10.64 25.88 4.76 0.25 213
215 6 -10.71 25.8 4.69 0.25 214
216 6 -10.75 25.79 4.59 0.25 215
217 6 -10.85 25.87 4.53 0.25 216
218 6 -10.93 25.95 4.44 0.25 217
219 6 -10.89 25.96 4.36 0.25 218
220 6 -10.89 26.04 4.25 0.25 219
221 6 -11.06 27.37 5.25 0.25 206
222 6 -11.81 27.64 5.23 0.25 221
223 6 -11.88 27.62 5.15 0.25 222
224 6 -11.89 27.54 4.96 0.25 223
225 6 -11.85 27.51 4.88 0.25 224
226 6 -11.81 27.64 5.21 0.25 222
227 6 -13.02 28.12 5.53 0.25 226
228 6 -13.02 28.12 5.48 0.25 227
229 6 -13.06 27.84 5.4 0.25 228
230 6 -13.06 27.84 5.32 0.25 229
231 6 -13.93 28.06 5.25 0.25 230
232 6 -14.43 28.01 5 0.25 231
233 6 -15.1 27.7 4.88 0.25 232
234 6 -15.64 28.12 5.4 0.25 233
235 6 -15.89 28.2 5.48 0.25 234
236 6 -16.37 28.19 5.57 0.25 235
237 6 -16.37 28.19 5.59 0.25 236
238 6 -16.31 28.3 5.63 0.25 237
239 6 -16.31 28.3 5.69 0.25 238
240 6 -16.27 28.45 5.76 0.25 239
241 6 -16.3 28.43 5.8 0.25 240
242 6 -16.8 27.96 5.36 0.25 237
243 6 -17.52 27.87 5.59 0.25 242
244 6 -17.97 27.86 5.69 0.25 243
245 6 -18.04 27.84 5.73 0.25 244
246 6 -18.3 27.76 5.8 0.25 245
247 6 -18.39 27.75 5.84 0.25 246
248 6 -18.39 27.75 5.88 0.25 247
249 6 -18.43 27.75 5.92 0.25 248
250 6 -18.84 27.8 5.63 0.25 247
251 6 -18.95 27.76 5.63 0.25 250
252 6 -19.31 27.54 5.76 0.25 251
253 6 -19.43 27.45 5.69 0.25 252
254 6 -19.5 27.37 5.48 0.25 253
255 6 -19.5 27.37 5.44 0.25 254
256 6 -19.5 27.45 5.4 0.25 255
257 6 -19.45 27.45 5.36 0.25 256
258 6 -20.34 27.51 5.4 0.25 255
259 6 -20.54 27.62 5.63 0.25 258
260 6 -20.95 27.79 5.73 0.25 259
261 6 -21.77 27.68 5.88 0.25 260
262 6 -21.72 27.7 5.84 0.25 261
263 6 -21.7 27.69 5.57 0.25 262
264 6 -21.79 27.87 5.4 0.25 263
265 6 -21.95 27.86 5.32 0.25 264
266 6 -22.42 27.67 6 0.25 261
267 6 -22.42 27.67 5.92 0.25 266
268 6 -22.54 27.7 6.09 0.25 267
269 6 -22.6 27.67 6.11 0.25 268
270 6 -23.13 27.54 6.21 0.25 269
271 6 -23.69 27.62 6.28 0.25 270
272 6 -23.96 27.38 6.36 0.25 271
273 6 -24.22 27.18 6.44 0.25 272
274 6 -24.25 27.18 6.48 0.25 273
275 6 -25.93 26.79 6.25 0.25 274
276 6 -26.18 26.67 6.48 0.25 275
277 6 -26.18 26.67 6.44 0.25 276
278 6 -26.12 26.72 6.4 0.25 277
279 6 -26.11 26.77 6.36 0.25 278
280 6 -26.39 26.69 6.53 0.25 276
281 6 -26.55 26.59 6.57 0.25 280
282 6 -27.27 26.63 6.63 0.25 281
283 6 -27.39 26.68 6.73 0.25 282
284 6 -27.92 26.62 6.8 0.25 283
285 6 -28.05 26.62 6.88 0.25 284
286 6 -28.21 26.76 6.96 0.25 285
287 6 -28.37 26.84 7.05 0.25 286
288 6 -30.28 27.86 6.96 0.25 287
289 6 -30.79 28.01 7.05 0.25 288
290 6 -31.19 28.02 7.11 0.25 289
291 6 -31.45 27.96 7.15 0.25 290
292 6 -31.46 27.95 7.21 0.25 291
293 6 -31.7 28.26 7.32 0.25 290
294 6 -31.87 28.34 7.36 0.25 293
295 6 -33.15 29.64 7.32 0.25 294
296 6 -33.09 29.56 7.28 0.25 295
297 6 -33.04 29.45 7.21 0.25 296
298 6 -33.09 29.43 7.11 0.25 297
299 6 -33.52 30.26 7.36 0.25 295
300 6 -33.72 31.09 7.36 0.25 299
301 6 -33.95 33.02 7.36 0.25 300
302 6 -34.52 35.5 7.36 0.25 301
303 6 -34.9 37.59 7.48 0.25 302
304 6 -34.95 37.74 7.57 0.25 303
305 6 -34.95 38.02 7.63 0.25 304
306 6 -35.06 38.13 7.73 0.25 305
307 6 -35.15 38.18 7.8 0.25 306
308 6 -35.29 38.79 7.88 0.25 307
309 6 -35.22 38.95 7.96 0.25 308
310 6 -35.36 39.15 8.05 0.25 309
311 6 -35.4 39.45 8.1 0.25 310
312 6 -35.52 39.63 8.21 0.25 311
313 6 -35.65 39.72 8.27 0.25 312
314 6 -35.65 39.93 8.35 0.25 313
315 6 -35.7 39.97 8.43 0.25 314
316 6 -35.77 39.99 8.52 0.25 315
317 6 -35.84 40.15 8.6 0.25 316
318 6 -35.88 40.22 8.68 0.25 317
319 6 -35.95 40.5 8.77 0.25 318
320 6 -35.95 40.65 8.84 0.25 319
321 6 -35.99 40.86 8.93 0.25 320
322 6 -35.99 40.86 9 0.25 321
323 6 -36.04 41.02 9.09 0.25 322
324 6 -36.04 41.11 9.14 0.25 323
325 6 -36.04 41.27 9.25 0.25 324
326 6 -36.04 41.31 9.31 0.25 325
327 6 -36.04 41.5 9.39 0.25 326
328 6 -36.06 41.72 9.47 0.25 327
329 6 -36.06 41.75 9.56 0.25 328
330 6 -36.04 41.77 9.64 0.25 329
331 6 -36.04 41.77 9.72 0.25 330
332 6 -36.33 42.13 9.8 0.25 331
333 6 -36.49 42.45 9.93 0.25 332
334 6 -36.58 42.59 10.05 0.25 333
335 6 -36.7 42.65 10.1 0.25 334
336 6 -41.93 42.72 10.43 0.25 335
337 6 -42 42.65 10.47 0.25 336
338 6 -41.97 42.65 10.56 0.25 337
339 6 -41.9 42.5 10.68 0.25 338
340 6 -41.9 42.34 10.77 0.25 339
341 6 -41.9 42.29 10.8 0.25 340
342 6 -41.95 42.24 10.84 0.25 341
343 6 -42.02 41.77 10.84 0.25 342
344 6 -41.97 41.63 10.68 0.25 343
345 6 -42.11 42.22 11.21 0.25 342
346 6 -42.13 42.22 11.27 0.25 345
347 6 -42.09 42.36 11.47 0.25 346
348 6 -42.11 42.47 11.52 0.25 347
349 6 -42.11 42.54 11.56 0.25 348
350 6 -42.11 42.59 11.6 0.25 349
351 6 -42.04 42.68 11.68 0.25 350
352 6 -42.04 42.75 11.72 0.25 351
353 6 -42.06 42.88 11.77 0.25 352
354 6 -42.06 42.9 11.84 0.25 353
355 6 -42.06 42.93 11.93 0.25 354
356 6 -42.15 43.02 12 0.25 355
357 6 -42.18 43.08 12.05 0.25 356
358 6 -42.22 43.31 12.27 0.25 357
359 6 -42.25 43.38 12.35 0.25 358
360 6 -42.4 43.68 12.8 0.25 359
361 6 -42.4 43.81 12.89 0.25 360
362 6 -42.43 43.93 12.96 0.25 361
363 6 -42.5 44.02 13.05 0.25 362
364 6 -42.58 44.13 13.1 0.25 363
365 6 -42.86 44.25 13.35 0.25 364
366 6 -42.9 44.36 13.43 0.25 365
367 6 -43.08 44.5 13.6 0.25 366
368 6 -43.13 44.59 13.68 0.25 367
369 6 -43.22 44.74 13.88 0.25 368
370 6 -43.25 44.97 14.05 0.25 369
371 6 -43.2 45.2 14.1 0.25 370
372 6 -43.25 46.33 14.64 0.25 371
373 6 -43.31 46.52 14.88 0.25 372
374 6 -43.24 46.59 14.92 0.25 373
375 6 -43.45 46.68 15.09 0.25 374
376 6 -43.47 46.99 15.22 0.25 375
377 6 -43.43 47.09 15.31 0.25 376
